Date,Opening,High,Closing,Low,Volume
2013-12-19,5.860,5.920,5.660,5.530,93417
2013-12-20,5.800,5.800,5.480,5.410,105630
2013-12-23,5.410,5.430,5.270,5.230,58543
2013-12-24,5.300,5.340,5.290,5.260,42911
2013-12-25,5.280,5.330,5.260,5.150,58554
2013-12-26,5.230,5.270,5.100,5.080,74699
2013-12-27,5.090,5.200,5.170,5.020,47573
2013-12-30,5.190,5.270,5.250,5.170,31521
2013-12-31,5.230,5.260,5.200,5.180,31077
2014-01-02,5.200,5.320,5.280,5.180,33082
2014-01-03,5.300,5.800,5.680,5.240,162511
2014-01-06,5.540,5.600,5.430,5.330,95109
2014-01-07,5.320,5.410,5.360,5.310,52601
2014-01-08,5.350,5.550,5.490,5.310,64804
2014-01-09,5.450,5.510,5.370,5.360,35908
2014-01-10,5.310,5.340,5.180,5.170,35178
2014-01-13,5.180,5.230,5.170,5.100,23656
2014-01-14,5.150,5.310,5.290,5.150,21538
2014-01-15,5.300,5.330,5.300,5.220,23620
2014-01-16,5.310,5.490,5.420,5.260,40010
2014-01-17,5.380,5.390,5.260,5.250,21361
2014-01-20,5.260,5.560,5.380,5.230,54885
2014-01-21,5.380,5.480,5.430,5.340,42310
2014-01-22,5.420,5.580,5.520,5.350,56051
2014-01-23,5.590,5.850,5.700,5.470,135009
2014-01-24,5.750,6.270,6.270,5.680,318568
2014-01-27,6.380,6.480,6.060,6.050,341126
2014-01-28,6.100,6.100,5.890,5.820,179205
2014-01-29,5.880,5.990,5.900,5.750,129989
2014-01-30,5.860,5.870,5.810,5.770,79008
2014-02-07,5.600,5.600,5.540,5.230,654869
2014-02-10,5.500,6.090,6.090,5.490,461547
2014-02-11,6.160,6.280,6.220,5.950,508693
2014-02-12,6.180,6.440,6.230,6.120,446847
2014-02-13,6.280,6.580,6.420,6.150,492183
2014-02-14,6.420,6.450,6.420,6.260,260803
2014-02-17,6.420,6.720,6.530,6.330,365913
2014-02-18,6.570,6.690,6.390,6.380,299761
2014-02-19,6.390,6.660,6.600,6.280,327609
2014-02-20,6.560,6.660,6.290,6.270,220282
2014-02-21,6.300,6.430,6.340,6.200,167794
2014-02-24,6.320,6.590,6.520,6.200,233765
2014-02-25,6.550,7.000,6.540,6.400,509674
2014-02-26,6.600,6.850,6.800,6.370,375950
2014-02-27,6.930,7.100,6.500,6.480,436018
2014-02-28,6.410,6.700,6.650,6.320,219293
2014-03-03,6.640,6.770,6.720,6.540,200344
2014-03-04,6.640,6.670,6.570,6.380,231697
2014-03-05,6.620,6.900,6.680,6.450,335435
2014-03-06,6.640,6.970,6.810,6.500,290674
2014-03-07,7.130,7.490,7.120,7.050,711226
2014-03-10,6.980,7.480,6.890,6.860,641273
2014-03-11,6.700,6.740,6.330,6.200,451863
2014-03-12,6.240,6.360,6.200,5.980,280616
2014-03-13,6.240,6.340,6.310,6.180,182872
2014-03-14,6.250,6.290,6.100,6.050,153833
2014-03-17,6.120,6.590,6.460,6.090,298690
2014-03-18,6.460,6.660,6.460,6.410,236496
2014-03-19,6.460,6.650,6.510,6.390,261494
2014-03-20,6.450,6.570,6.140,6.100,247426
2014-03-21,6.090,6.320,6.290,5.990,208442
2014-03-24,6.200,6.290,6.150,6.100,217423
2014-03-25,6.110,6.250,6.220,6.100,166990
2014-03-26,6.200,6.300,6.200,6.160,144741
2014-03-27,6.170,6.190,5.810,5.800,346881
2014-03-28,5.820,5.860,5.640,5.560,250919
2014-03-31,5.640,5.710,5.630,5.560,92557
2014-04-01,5.650,5.780,5.760,5.630,100757
2014-04-02,5.840,5.860,5.780,5.730,100610
2014-04-03,5.780,5.810,5.690,5.610,125900
2014-04-04,5.660,5.830,5.790,5.630,113799
2014-04-08,5.760,5.860,5.850,5.640,167429
2014-04-09,5.820,6.050,6.000,5.810,273726
2014-04-10,6.180,6.600,6.600,6.040,790664
2014-04-11,6.520,6.680,6.550,6.450,709813
2014-04-14,6.490,6.700,6.560,6.350,444983
2014-04-15,6.550,6.670,6.520,6.380,346513
2014-04-16,6.440,6.630,6.500,6.320,360596
2014-04-17,6.500,6.520,6.330,6.320,223884
2014-04-18,6.200,6.320,6.220,6.110,226105
2014-04-21,6.170,6.310,6.100,6.090,171299
2014-04-22,6.080,6.180,6.000,5.870,207284
2014-04-23,5.980,6.010,5.930,5.870,112620
2014-04-24,5.940,5.960,5.880,5.840,110792
2014-04-25,5.860,5.930,5.670,5.650,153630
2014-04-28,5.680,5.720,5.470,5.450,136807
2014-04-29,5.420,5.550,5.540,5.400,85829
2014-04-30,5.530,5.570,5.520,5.470,85435
2014-05-05,5.500,5.640,5.620,5.390,143836
2014-05-06,5.570,5.830,5.730,5.560,207090
2014-05-07,5.650,5.720,5.490,5.480,154201
2014-05-08,5.410,5.600,5.480,5.410,104787
2014-05-09,5.490,5.500,5.310,5.260,132484
2014-05-12,5.360,5.590,5.560,5.310,136819
2014-05-13,5.550,5.580,5.470,5.450,94812
2014-05-14,5.470,5.640,5.600,5.430,142907
2014-05-15,5.640,5.780,5.520,5.520,214321
2014-05-16,5.480,5.520,5.510,5.410,91165
2014-05-19,5.480,5.480,5.410,5.360,71234
2014-05-20,5.450,5.520,5.460,5.420,81591
2014-05-21,5.440,5.530,5.520,5.350,74797
2014-05-22,5.510,5.620,5.430,5.400,184282
2014-05-23,5.410,5.470,5.460,5.370,93754
2014-05-26,5.530,5.660,5.550,5.510,144248
2014-05-27,5.530,5.690,5.650,5.500,216195
2014-05-28,5.620,5.700,5.690,5.550,161398
2014-05-29,5.700,5.920,5.750,5.670,274786
2014-05-30,5.760,5.800,5.720,5.640,138188
