Date,Opening,High,Closing,Low,Volume
2013-12-19,4.600,4.640,4.520,4.510,19110
2013-12-20,4.530,4.580,4.490,4.430,16971
2013-12-23,4.480,4.510,4.430,4.380,24529
2013-12-24,4.450,4.530,4.430,4.400,25994
2013-12-25,4.430,4.480,4.460,4.400,15904
2013-12-26,4.470,4.470,4.400,4.360,15015
2013-12-27,4.420,4.520,4.470,4.390,20760
2013-12-30,4.480,4.510,4.490,4.430,23635
2013-12-31,4.500,4.540,4.520,4.440,25283
2014-01-02,4.500,4.560,4.520,4.480,14764
2014-01-03,4.530,4.530,4.460,4.410,22733
2014-01-06,4.450,4.450,4.300,4.280,18615
2014-01-07,4.330,4.370,4.330,4.240,21781
2014-01-08,4.350,4.350,4.300,4.250,17446
2014-01-09,4.290,4.370,4.190,4.190,26114
2014-01-10,4.190,4.220,4.060,4.010,20238
2014-01-13,4.050,4.090,4.020,4.000,15528
2014-01-14,4.010,4.080,4.080,4.000,20311
2014-01-15,4.070,4.100,4.090,4.030,16879
2014-01-16,4.110,4.180,4.070,4.050,33590
2014-01-17,4.080,4.110,4.070,4.050,10588
2014-01-20,4.090,4.160,4.150,4.050,20713
2014-01-21,4.120,4.240,4.230,4.120,29017
2014-01-22,4.240,4.290,4.290,4.220,22526
2014-01-23,4.300,4.370,4.320,4.270,24757
2014-01-24,4.280,4.420,4.360,4.280,26141
2014-01-27,4.340,4.410,4.340,4.310,25427
2014-01-28,4.350,4.400,4.340,4.300,16232
2014-01-29,4.320,4.380,4.360,4.300,14017
2014-01-30,4.320,4.390,4.330,4.320,6811
2014-02-07,4.350,4.410,4.400,4.290,14451
2014-02-10,4.420,4.820,4.790,4.410,169582
2014-02-11,4.750,5.180,5.080,4.710,285259
2014-02-12,5.030,5.100,5.070,4.950,158564
2014-02-13,5.020,5.500,5.420,4.990,335254
2014-02-14,5.400,5.420,5.360,5.280,174404
2014-02-17,5.390,5.450,5.410,5.260,164041
2014-02-18,5.370,5.840,5.680,5.280,307679
2014-02-19,5.620,5.810,5.640,5.500,213073
2014-02-20,5.620,5.680,5.530,5.370,225036
2014-02-21,5.500,5.710,5.640,5.450,191358
2014-02-24,5.660,6.050,5.930,5.460,302843
2014-02-25,5.920,6.150,5.630,5.550,265440
2014-02-26,5.570,5.600,5.430,5.070,121276
2014-02-27,5.400,5.720,5.450,5.270,105680
2014-02-28,5.400,5.550,5.470,5.350,56264
2014-03-03,5.490,5.640,5.540,5.430,56694
2014-03-04,5.600,5.950,5.790,5.440,100733
2014-03-05,5.760,6.080,5.770,5.750,85514
2014-03-06,5.740,5.890,5.640,5.560,56641
2014-03-07,5.640,5.710,5.600,5.510,48901
2014-03-10,5.630,5.630,5.200,5.150,66239
2014-03-11,5.150,5.270,5.160,5.070,40410
2014-03-12,5.160,5.160,5.000,4.900,63708
2014-03-13,5.020,5.090,5.020,4.970,32492
2014-03-14,5.010,5.220,5.170,4.950,51148
2014-03-17,5.100,5.270,5.220,5.100,41330
2014-03-18,5.200,5.270,5.160,5.150,37718
2014-03-19,5.120,5.620,5.570,5.110,95662
2014-03-20,5.570,5.570,5.280,5.270,56512
2014-03-21,5.210,5.330,5.330,5.010,47400
2014-03-24,5.310,5.490,5.320,5.280,42657
2014-03-25,5.280,5.360,5.260,5.220,36977
2014-03-26,5.250,5.370,5.290,5.240,28173
2014-03-27,5.300,5.300,5.100,5.090,31415
2014-03-28,5.110,5.170,4.940,4.920,52874
2014-03-31,4.960,4.980,4.850,4.810,43071
2014-04-01,4.850,4.950,4.930,4.820,29123
2014-04-02,4.930,4.970,4.910,4.870,20248
2014-04-03,4.940,5.040,4.950,4.890,26808
2014-04-04,4.950,5.100,5.090,4.930,23978
2014-04-08,5.090,5.190,5.140,5.040,29984
2014-04-09,5.140,5.200,5.150,5.100,26660
2014-04-10,5.160,5.170,5.050,5.010,51726
2014-04-11,5.000,5.090,5.090,4.950,37202
2014-04-14,5.080,5.090,5.070,4.980,23088
2014-04-15,5.070,5.280,5.240,5.000,63821
2014-04-16,5.240,5.370,5.250,5.180,46789
2014-04-17,5.280,5.340,5.300,5.150,35762
2014-04-18,5.220,5.340,5.230,5.220,28084
2014-04-21,5.180,5.270,5.130,5.120,24462
2014-04-22,5.120,5.120,5.070,5.000,24722
2014-04-23,5.070,5.080,5.020,4.980,17276
2014-04-24,5.020,5.100,5.010,4.950,19216
2014-04-25,5.010,5.060,4.920,4.910,22512
2014-04-28,4.910,4.920,4.710,4.710,22040
2014-04-29,4.750,4.790,4.770,4.670,12232
2014-04-30,4.770,4.890,4.860,4.770,12675
2014-05-05,4.900,5.060,5.010,4.840,22986
2014-05-06,5.000,5.060,5.010,4.950,14129
2014-05-07,4.990,5.070,4.950,4.920,10529
2014-05-08,4.950,5.050,4.970,4.900,12242
2014-05-09,4.960,5.120,5.120,4.950,35580
2014-05-12,5.120,5.230,5.190,5.100,37689
2014-05-13,5.190,5.230,5.090,5.050,18723
2014-05-14,5.100,5.150,5.140,5.070,14025
2014-05-15,5.140,5.140,4.910,4.880,23626
2014-05-16,4.910,4.940,4.880,4.840,10625
2014-05-19,4.880,4.920,4.920,4.830,7518
2014-05-20,4.930,5.000,4.920,4.880,12023
2014-05-21,4.910,4.940,4.910,4.800,21524
2014-05-22,4.900,4.990,4.910,4.870,15403
2014-05-23,4.940,4.940,4.940,4.850,10648
2014-05-26,4.930,5.070,5.050,4.900,29140
2014-05-27,5.030,5.120,5.100,5.010,25136
2014-05-28,5.100,5.400,5.310,5.060,64065
2014-05-29,5.390,5.480,5.310,5.260,66420
2014-05-30,5.300,5.340,5.300,5.200,31673
2014-06-03,5.300,5.370,5.230,5.210,30298
2014-06-04,5.210,5.220,5.170,5.040,30386
2014-06-05,5.150,5.320,5.300,5.140,30768
2014-06-06,5.310,5.360,5.270,5.200,23416
2014-06-09,5.280,5.420,5.300,5.230,36062
2014-06-10,5.280,5.400,5.390,5.270,24961
2014-06-11,5.400,5.400,5.320,5.290,26209
2014-06-12,5.310,5.310,5.260,5.200,21159
2014-06-13,5.230,5.360,5.310,5.230,26080
2014-06-16,5.300,5.320,5.290,5.230,25340
2014-06-17,5.310,5.650,5.620,5.290,118390
2014-06-18,5.570,6.180,5.890,5.520,251467
2014-06-19,5.760,5.800,5.470,5.410,147346
2014-06-20,5.410,5.470,5.420,5.250,65009
2014-06-23,5.420,5.570,5.460,5.420,53274
2014-06-24,5.420,5.490,5.470,5.310,53246
2014-06-25,5.450,5.450,5.320,5.310,38660
2014-06-26,5.300,5.540,5.510,5.260,69163
2014-06-27,5.460,5.770,5.660,5.440,97878
2014-06-30,5.620,6.030,5.800,5.600,100829
2014-07-01,5.830,5.880,5.830,5.670,56398
2014-07-02,5.770,5.850,5.770,5.690,44198
2014-07-03,5.760,5.950,5.920,5.660,73295
2014-07-04,5.870,6.030,5.730,5.720,55789
2014-07-07,5.730,5.840,5.760,5.680,31020
2014-07-08,5.760,5.880,5.860,5.610,62016
2014-07-09,5.800,5.860,5.770,5.670,55446
2014-07-10,5.740,6.350,6.350,5.730,205267
2014-07-11,6.500,6.990,6.990,6.500,346940
2014-07-14,7.200,7.690,7.690,7.150,162928
2014-07-15,8.000,8.460,7.540,7.460,579329
2014-07-16,7.300,7.360,7.010,6.970,358849
2014-07-17,6.940,7.240,7.070,6.790,275762
2014-07-18,6.870,7.470,7.240,6.810,256839
2014-07-21,7.130,7.960,7.960,7.020,374132
2014-07-22,7.880,8.650,8.190,7.610,429343
2014-07-23,8.130,8.600,7.880,7.700,326238
2014-07-24,7.900,7.930,7.330,7.090,252743
2014-07-25,7.290,7.470,7.450,7.100,148533
2014-07-28,7.380,7.680,7.640,7.220,167152
2014-07-29,7.550,7.970,7.740,7.500,209186
2014-07-30,7.700,7.750,7.600,7.400,137561
2014-07-31,7.600,7.860,7.790,7.470,136336
2014-08-01,7.660,7.730,7.420,7.380,99227
2014-08-04,7.380,7.970,7.830,7.370,141260
2014-08-05,7.850,8.500,8.260,7.720,284891
2014-08-06,8.300,8.890,8.550,8.180,262810
2014-08-07,8.400,8.490,8.260,8.150,168378
2014-08-08,8.200,8.480,8.310,8.100,126464
2014-08-11,8.280,8.530,8.480,8.180,108637
2014-08-12,8.480,8.480,8.280,8.200,100788
2014-08-13,8.300,8.300,8.120,7.900,131248
2014-08-14,8.100,8.220,7.950,7.930,84038
2014-08-15,7.880,8.090,8.070,7.860,69326
2014-08-18,8.120,8.880,8.880,8.110,311727
2014-08-19,9.310,9.770,9.770,9.080,318251
2014-08-20,9.850,9.860,9.460,9.280,265071
2014-08-21,9.320,9.440,9.290,9.010,189426
2014-08-22,9.250,9.750,9.480,9.130,216716
2014-08-25,9.580,9.580,9.120,9.010,170071
2014-08-26,8.990,9.350,9.190,8.900,132922
2014-08-27,9.070,9.290,8.990,8.920,91090
2014-08-28,8.950,9.390,9.310,8.760,150954
2014-08-29,9.100,10.240,9.760,9.020,264277
2014-09-01,9.740,9.960,9.910,9.450,179862
2014-09-02,9.850,9.920,9.740,9.650,162838
2014-09-03,9.640,9.980,9.690,9.470,178262
2014-09-04,9.480,9.610,9.420,9.280,208898
2014-09-05,9.410,9.610,9.510,9.300,130577
2014-09-09,9.450,9.760,9.550,9.400,159034
2014-09-10,9.450,9.480,9.400,9.220,128174
2014-09-11,9.400,9.450,9.170,9.150,141988
2014-09-12,9.050,9.370,9.350,9.050,102374
2014-09-15,9.370,9.390,9.210,9.150,115038
2014-09-16,9.210,9.220,8.670,8.650,155317
2014-09-17,8.620,8.750,8.440,8.300,105357
2014-09-18,8.430,8.750,8.640,8.340,76709
2014-09-19,8.650,8.900,8.890,8.500,99270
2014-09-22,8.820,8.850,8.580,8.550,51300
2014-09-23,8.500,8.650,8.560,8.380,111268
2014-09-24,8.500,8.680,8.620,8.410,91510
2014-09-25,8.650,9.060,9.030,8.480,170385
2014-09-26,8.900,9.900,9.700,8.880,354670
2014-09-29,9.550,9.890,9.440,9.390,317732
2014-09-30,9.310,9.410,9.120,9.020,199663
2014-10-08,9.120,9.240,9.230,9.010,92615
2014-10-09,9.240,9.280,9.170,9.060,90166
2014-10-10,9.200,9.490,9.210,9.110,147000
2014-10-13,9.170,9.170,8.920,8.720,89398
2014-10-14,8.850,9.230,9.040,8.800,78054
2014-10-15,9.060,9.250,9.200,8.840,138082
2014-10-16,9.500,10.120,9.750,9.330,500706
2014-10-17,9.400,9.400,8.800,8.780,397181
2014-10-20,8.570,8.690,8.580,8.220,176908
2014-10-21,8.470,8.470,8.280,8.280,103767
2014-10-22,8.290,8.430,8.340,8.290,60404
2014-10-23,8.340,8.340,7.900,7.850,99371
2014-10-24,7.960,8.070,7.780,7.730,54556
2014-10-27,7.780,7.880,7.840,7.650,42853
2014-10-28,7.840,8.120,8.110,7.840,63926
2014-10-29,8.130,8.270,8.170,8.030,68977
2014-10-30,8.140,8.230,8.120,8.070,77228
2014-10-31,8.120,8.210,8.140,8.040,60425
2014-11-03,8.160,8.370,8.300,8.150,69825
2014-11-04,8.320,8.340,8.220,8.200,47243
2014-11-05,8.210,8.550,8.270,8.180,48210
2014-11-06,8.270,8.270,8.140,7.910,58004
2014-11-07,8.140,8.170,8.020,7.980,49666
2014-11-10,8.060,8.120,8.050,7.950,33438
2014-11-11,8.050,8.050,7.640,7.540,63708
2014-11-12,7.640,7.860,7.850,7.630,39289
2014-11-13,7.850,7.860,7.640,7.550,45284
2014-11-14,7.650,7.820,7.790,7.580,40404
2014-11-17,7.800,7.900,7.850,7.710,36290
2014-11-18,7.820,7.900,7.850,7.730,40758
2014-11-19,7.850,8.040,7.880,7.770,56068
2014-11-20,7.800,7.950,7.790,7.750,42124
2014-11-21,7.800,8.010,7.940,7.740,53625
2014-11-24,8.000,8.150,8.110,7.920,77132
2014-11-25,8.120,8.150,8.130,8.030,68977
2014-11-26,8.140,8.320,8.250,8.060,116449
2014-11-27,8.280,8.400,8.300,8.160,107978
