Date,Opening,High,Closing,Low,Volume
2013-12-19,6.070,6.110,5.970,5.950,57283
2013-12-20,5.950,6.040,6.030,5.830,46912
2013-12-23,6.030,6.030,5.950,5.750,39451
2013-12-24,5.920,6.030,5.970,5.880,38229
2013-12-25,5.950,6.030,6.000,5.930,28878
2013-12-26,6.000,6.010,5.800,5.800,52300
2013-12-27,5.780,5.900,5.900,5.780,36055
2013-12-30,5.950,6.120,6.090,5.940,64386
2013-12-31,6.090,6.120,6.040,6.000,47930
2014-01-02,6.070,6.090,5.990,5.940,45717
2014-01-03,5.980,5.980,5.910,5.840,36122
2014-01-06,5.930,5.940,5.780,5.720,40440
2014-01-07,5.760,5.850,5.750,5.610,45336
2014-01-08,5.750,5.840,5.780,5.680,30570
2014-01-09,5.790,5.810,5.620,5.600,31099
2014-01-10,5.570,5.640,5.410,5.400,44413
2014-01-13,5.400,5.500,5.300,5.210,34090
2014-01-14,5.290,5.440,5.430,5.250,26228
2014-01-15,5.420,5.460,5.380,5.300,25461
2014-01-16,5.360,5.520,5.450,5.340,26656
2014-01-17,5.450,5.480,5.430,5.360,18841
2014-01-20,5.410,5.450,5.400,5.340,15548
2014-01-21,5.450,5.640,5.580,5.400,35472
2014-01-22,5.550,5.750,5.690,5.550,43276
2014-01-23,5.690,5.750,5.640,5.620,34707
2014-01-24,5.650,5.780,5.630,5.600,49811
2014-01-27,5.620,5.620,5.490,5.470,60372
2014-01-28,5.500,5.540,5.510,5.420,28126
2014-01-29,5.510,5.610,5.570,5.470,29314
2014-01-30,5.550,5.570,5.520,5.460,31115
2014-02-07,5.560,5.660,5.620,5.560,45740
2014-02-10,5.670,5.770,5.770,5.620,61369
2014-02-11,5.770,6.000,5.860,5.700,96315
2014-02-12,5.850,5.890,5.880,5.810,43939
2014-02-13,5.830,5.980,5.800,5.790,54791
2014-02-14,5.820,5.960,5.910,5.820,62237
2014-02-17,5.870,6.030,5.960,5.870,79690
2014-02-18,5.970,6.080,6.030,5.900,90014
2014-02-19,6.040,6.080,6.060,5.960,70082
2014-02-20,6.080,6.080,5.910,5.900,55655
2014-02-21,5.860,5.960,5.840,5.790,37378
2014-02-24,5.800,5.820,5.810,5.710,31043
2014-02-25,5.790,5.880,5.790,5.700,61869
2014-02-26,5.820,5.990,5.970,5.710,71854
2014-02-27,5.970,6.180,6.050,5.940,115363
2014-02-28,6.070,6.150,6.100,5.970,87579
2014-03-03,6.210,6.250,6.110,6.070,93041
2014-03-04,6.100,6.220,6.130,6.040,73247
2014-03-05,6.140,6.170,5.940,5.930,63916
2014-03-06,6.030,6.050,6.050,5.920,52343
2014-03-07,6.100,6.120,5.870,5.870,55675
2014-03-10,5.940,6.060,5.750,5.710,71467
2014-03-11,5.790,5.830,5.760,5.630,60063
2014-03-12,5.820,5.820,5.710,5.610,32538
2014-03-13,5.750,5.820,5.800,5.680,37217
2014-03-14,5.800,5.870,5.810,5.750,33089
2014-03-17,5.800,5.990,5.990,5.770,56908
