Date,Opening,High,Closing,Low,Volume
2013-12-19,8.000,8.030,7.720,7.620,148476
2013-12-20,7.620,7.840,7.720,7.620,93188
2013-12-23,7.720,7.760,7.330,7.080,182876
2013-12-24,7.300,7.530,7.380,7.260,125496
2013-12-25,7.420,7.710,7.630,7.380,128269
2013-12-26,7.630,7.740,7.410,7.270,158429
2013-12-27,7.410,7.710,7.630,7.350,141366
2013-12-30,7.690,7.920,7.630,7.610,211593
2013-12-31,7.620,7.780,7.650,7.510,105954
2014-01-02,7.550,7.760,7.710,7.550,112480
2014-01-03,7.660,7.730,7.670,7.500,116166
2014-01-06,7.660,7.660,7.370,7.330,126560
2014-01-07,7.430,7.430,7.250,7.240,96862
2014-01-08,7.250,7.350,7.210,7.090,124797
2014-01-09,7.250,7.390,7.230,7.110,120354
2014-01-10,7.240,7.270,7.000,6.930,139575
2014-01-13,6.980,7.040,6.640,6.430,216225
2014-01-14,6.600,6.740,6.730,6.520,125950
2014-01-15,6.720,6.990,6.860,6.680,174623
2014-01-16,6.920,7.120,6.980,6.810,213227
2014-01-17,6.920,7.080,6.910,6.810,128654
2014-01-20,6.930,7.470,7.260,6.880,262628
2014-01-21,7.210,7.900,7.530,7.170,459373
2014-01-22,7.530,8.280,8.280,7.500,760494
2014-01-23,8.320,8.340,8.190,8.000,622122
2014-01-24,8.070,8.500,8.230,7.930,502103
2014-01-27,8.150,8.420,8.140,7.960,388387
2014-01-28,8.120,8.920,8.610,8.120,515396
2014-01-29,8.920,9.450,9.340,8.700,745371
2014-01-30,9.120,9.200,8.890,8.760,459203
2014-02-07,8.740,9.780,9.780,8.740,600556
2014-02-10,10.000,10.640,10.000,9.690,1001987
2014-02-11,9.900,10.500,10.260,9.880,697968
2014-02-12,10.140,10.180,10.030,9.820,509613
2014-02-13,9.950,10.390,9.760,9.700,711877
2014-02-14,9.770,10.160,9.880,9.720,533220
2014-02-17,9.860,10.140,10.100,9.730,447024
2014-02-18,10.010,10.120,9.910,9.790,368121
2014-02-19,9.900,10.380,9.620,9.510,787693
2014-02-20,9.450,9.460,8.890,8.780,667825
2014-02-21,8.860,8.970,8.940,8.760,288794
2014-02-24,8.950,8.980,8.850,8.600,368101
2014-02-25,8.890,9.040,8.310,8.180,434636
2014-02-26,8.340,8.710,8.690,8.210,313150
2014-02-27,8.700,8.900,8.380,8.230,397858
2014-02-28,8.300,8.790,8.720,8.250,263470
2014-03-03,8.680,8.900,8.780,8.560,218648
2014-03-04,8.670,9.100,9.040,8.630,368361
2014-03-05,8.980,9.050,8.710,8.680,309139
2014-03-06,8.660,8.790,8.650,8.480,191593
2014-03-07,8.790,8.890,8.630,8.600,233595
2014-03-10,8.400,8.450,7.950,7.890,306148
2014-03-11,7.990,8.090,7.950,7.810,164676
2014-03-12,7.900,8.080,7.860,7.660,170533
2014-03-13,7.900,8.120,8.110,7.870,181419
2014-03-14,8.020,8.130,7.990,7.880,124128
2014-03-17,8.090,8.400,8.390,8.050,216449
2014-03-18,8.380,8.560,8.370,8.290,174163
2014-03-19,8.320,8.920,8.850,8.320,464226
2014-03-20,8.720,8.840,8.380,8.360,310539
2014-03-21,8.300,8.780,8.690,8.220,254456
2014-03-24,8.830,9.170,9.050,8.620,456141
2014-03-25,9.000,9.070,8.940,8.790,272556
2014-03-26,8.930,9.080,8.880,8.780,232143
2014-03-27,8.890,9.000,8.600,8.580,227431
2014-03-28,8.580,8.680,8.220,8.150,284991
2014-03-31,8.290,8.550,8.410,8.200,183842
2014-04-01,8.410,8.600,8.510,8.360,147495
2014-04-02,8.550,8.840,8.680,8.520,250927
2014-04-03,8.640,9.450,9.180,8.610,628528
2014-04-04,9.120,9.380,9.270,9.050,438249
2014-04-08,9.010,9.320,9.280,8.990,362223
2014-04-09,9.290,9.620,9.190,9.160,385604
2014-04-10,9.140,9.470,9.270,8.930,491841
2014-04-11,9.120,10.200,10.200,9.080,950024
2014-04-14,10.410,10.640,10.470,10.120,1054941
2014-04-15,10.430,11.490,11.000,10.370,1395861
2014-04-16,11.010,11.310,11.290,10.760,1167942
2014-04-17,11.250,11.400,11.010,10.920,753739
2014-04-18,10.900,11.680,11.410,10.730,1162835
2014-04-21,11.180,11.460,11.180,11.030,750066
2014-04-22,11.070,11.430,11.350,10.750,971475
2014-04-23,11.430,11.430,10.960,10.900,680117
2014-04-24,10.730,10.850,10.420,10.250,894682
2014-04-25,10.320,10.580,10.410,10.050,533486
2014-04-28,10.340,10.620,9.920,9.880,815782
2014-04-29,9.840,10.280,10.260,9.730,554611
2014-04-30,10.140,10.250,10.040,9.910,433919
2014-05-05,10.070,10.380,10.310,10.040,415282
2014-05-06,10.230,10.340,10.260,9.880,616119
2014-05-07,10.040,10.090,9.430,9.380,689873
