Date,Opening,High,Closing,Low,Volume
2013-12-19,4.630,4.690,4.630,4.570,8263
2013-12-20,4.630,4.630,4.500,4.410,16564
2013-12-23,4.520,4.530,4.440,4.400,10520
2013-12-24,4.440,4.470,4.460,4.390,8684
2013-12-25,4.440,4.460,4.440,4.400,8251
2013-12-26,4.410,4.450,4.330,4.300,7234
2013-12-27,4.330,4.390,4.390,4.310,7116
2013-12-30,4.400,4.420,4.370,4.370,8145
2013-12-31,4.380,4.380,4.280,4.230,20512
2014-01-02,4.270,4.350,4.310,4.230,27216
2014-01-03,4.310,4.340,4.210,4.190,22512
2014-01-06,4.210,4.210,4.060,4.040,20794
2014-01-07,4.060,4.060,4.010,3.970,34851
2014-01-08,4.040,4.060,3.970,3.940,13315
2014-01-09,3.940,3.970,3.870,3.850,20612
2014-01-10,3.820,3.870,3.790,3.770,20973
2014-01-13,3.790,3.850,3.760,3.730,12190
2014-01-14,3.750,3.900,3.890,3.750,22391
2014-01-15,3.860,3.910,3.870,3.850,11932
2014-01-16,3.880,3.930,3.880,3.850,13846
2014-01-17,3.860,3.940,3.860,3.860,9342
2014-01-20,3.840,3.920,3.860,3.780,11503
2014-01-21,3.860,3.920,3.920,3.860,9987
2014-01-22,3.920,4.020,4.010,3.910,19764
2014-01-23,4.020,4.070,4.020,4.000,21730
2014-01-24,4.000,4.080,4.060,3.990,14837
2014-01-27,4.050,4.050,3.990,3.900,22940
2014-01-28,3.990,4.010,3.940,3.920,15976
2014-01-29,3.950,4.040,4.040,3.950,23578
2014-01-30,4.000,4.140,4.090,4.000,23959
2014-02-07,4.090,4.110,4.090,4.020,13204
2014-02-10,4.110,4.230,4.220,4.110,13639
2014-02-11,4.230,4.280,4.270,4.170,17275
2014-02-12,4.260,4.310,4.280,4.130,34978
2014-02-13,4.260,4.360,4.250,4.230,24862
2014-02-14,4.250,4.340,4.320,4.230,19599
2014-02-17,4.340,4.380,4.360,4.300,24540
2014-02-18,4.350,4.390,4.370,4.320,30844
2014-02-19,4.390,4.510,4.450,4.370,36842
