Date,Opening,High,Closing,Low,Volume
2013-12-25,6.720,6.720,6.720,6.720,4836
2013-12-26,6.070,6.410,6.060,6.050,175162
2013-12-27,5.940,6.130,6.120,5.900,122958
2013-12-30,6.080,6.100,6.000,5.990,52847
2013-12-31,5.990,6.030,6.020,5.810,54645
2014-01-02,5.930,6.110,6.070,5.900,45148
2014-01-03,6.030,6.120,6.100,6.000,44753
2014-01-06,6.100,6.100,5.930,5.900,30198
2014-01-07,5.900,5.950,5.740,5.720,47638
2014-01-08,5.740,5.950,5.900,5.710,162769
2014-01-09,5.820,5.890,5.760,5.650,79105
2014-01-10,5.700,5.810,5.660,5.620,38418
2014-01-13,5.680,5.730,5.600,5.530,29170
2014-01-14,5.560,5.700,5.690,5.560,20049
2014-01-15,5.690,5.830,5.800,5.650,32184
2014-01-16,5.810,5.850,5.820,5.750,19601
2014-01-17,5.820,5.820,5.700,5.690,13744
2014-01-20,5.690,5.780,5.770,5.630,17121
2014-01-21,5.750,5.840,5.790,5.750,18765
2014-01-22,5.780,5.880,5.840,5.750,55779
2014-01-23,5.820,5.870,5.820,5.780,80120
2014-01-24,5.820,6.060,5.950,5.770,81709
2014-01-27,5.900,6.070,6.030,5.890,60978
2014-01-28,5.990,6.040,5.980,5.930,25055
2014-01-29,6.000,6.050,6.040,5.940,34078
2014-01-30,6.030,6.040,6.000,5.970,19967
2014-02-07,5.970,6.140,6.120,5.920,32425
2014-02-10,6.140,6.280,6.250,6.120,50443
2014-02-11,6.230,6.420,6.270,6.220,52840
2014-02-12,6.240,6.360,6.350,6.230,51441
2014-02-13,6.390,6.720,6.470,6.280,143905
2014-02-14,6.430,6.720,6.720,6.360,119985
2014-02-17,6.740,7.050,7.000,6.620,127648
2014-02-18,7.000,7.000,6.870,6.800,82027
2014-02-19,6.840,7.200,6.900,6.790,93474
2014-02-20,6.870,6.920,6.620,6.580,59895
2014-02-21,6.610,6.700,6.560,6.450,44439
2014-02-24,6.550,6.710,6.700,6.480,45732
2014-02-25,6.730,6.870,6.440,6.360,57026
2014-02-26,6.410,6.530,6.530,6.340,36311
2014-02-27,6.530,6.700,6.410,6.390,35455
2014-02-28,6.380,6.630,6.590,6.380,33477
2014-03-03,6.600,6.780,6.750,6.580,37872
2014-03-04,6.690,6.800,6.800,6.640,43288
2014-03-05,6.840,6.850,6.670,6.650,41445
2014-03-06,6.660,6.700,6.630,6.510,28254
2014-03-07,6.610,6.690,6.510,6.470,27179
2014-03-10,6.500,6.500,6.150,6.150,32390
2014-03-11,6.110,6.260,6.230,6.110,20440
2014-03-12,6.220,6.310,6.300,6.180,23597
2014-03-13,6.280,6.550,6.430,6.280,21769
2014-03-14,6.400,6.610,6.590,6.370,35113
2014-03-17,6.570,6.650,6.630,6.500,18350
2014-03-18,6.650,6.670,6.530,6.500,45625
2014-03-19,6.510,6.600,6.550,6.390,31343
2014-03-20,6.530,6.700,6.470,6.470,44539
2014-03-21,6.390,6.600,6.570,6.270,43431
2014-03-24,6.580,6.720,6.670,6.530,43673
2014-03-25,6.660,6.770,6.710,6.610,34335
2014-03-26,6.700,6.780,6.770,6.620,25478
2014-03-27,6.770,6.950,6.780,6.740,61905
2014-03-28,6.750,6.770,6.480,6.380,34441
2014-03-31,6.440,6.520,6.510,6.400,20903
2014-04-01,6.500,6.540,6.540,6.460,19026
2014-04-02,6.520,6.560,6.510,6.490,18030
2014-04-03,6.480,6.570,6.550,6.470,17057
2014-04-04,6.540,6.590,6.590,6.490,19009
2014-04-08,6.570,6.830,6.650,6.530,61498
2014-04-09,6.630,6.930,6.870,6.630,99539
2014-04-10,6.760,6.870,6.780,6.710,64839
2014-04-11,6.770,6.790,6.730,6.650,34898
2014-04-14,6.700,6.910,6.910,6.700,43216
2014-04-15,6.950,6.950,6.820,6.800,33139
2014-04-16,6.800,6.910,6.880,6.750,35867
2014-04-17,6.880,7.150,7.090,6.880,73679
2014-04-18,7.070,7.250,7.090,7.010,73270
2014-04-21,7.030,7.230,6.990,6.990,57817
2014-04-22,6.920,7.040,6.900,6.750,41998
2014-04-23,6.880,6.990,6.920,6.840,24254
2014-04-24,6.870,6.920,6.730,6.730,29625
2014-04-25,6.740,6.750,6.490,6.490,31515
2014-04-28,6.540,6.540,6.240,6.190,29799
2014-04-29,6.260,6.450,6.400,6.200,19432
2014-04-30,6.380,6.630,6.510,6.350,15617
2014-05-05,6.480,6.680,6.630,6.440,22253
2014-05-06,6.630,6.710,6.610,6.590,15618
2014-05-07,6.580,6.660,6.540,6.400,14985
2014-05-08,6.470,6.650,6.540,6.470,10587
2014-05-09,6.520,6.610,6.580,6.480,10452
2014-05-12,6.600,6.780,6.750,6.600,22688
2014-05-13,6.720,6.850,6.660,6.610,21290
2014-05-14,6.680,6.930,6.850,6.680,32274
2014-05-15,6.850,6.910,6.760,6.740,24180
2014-05-16,6.720,6.990,6.940,6.690,44725
2014-05-19,6.880,7.090,6.940,6.830,48741
2014-05-20,6.970,7.110,7.100,6.900,49228
2014-05-21,7.080,7.130,7.050,6.990,32417
2014-05-22,7.080,7.120,7.000,6.930,40777
2014-05-23,7.020,7.190,6.960,6.950,63694
2014-05-26,6.910,7.090,6.990,6.900,38944
2014-05-27,7.000,7.150,7.140,6.910,50215
2014-05-28,7.110,7.210,7.110,7.080,28483
2014-05-29,7.060,7.230,7.050,7.040,44945
2014-05-30,7.050,7.440,7.340,7.020,81840
2014-06-03,7.290,7.410,7.230,7.200,41771
2014-06-04,7.230,7.300,7.050,7.020,47363
2014-06-05,7.020,7.550,7.520,7.020,83720
2014-06-06,7.480,7.630,7.560,7.380,57369
2014-06-09,7.530,7.530,7.280,7.240,61895
2014-06-10,7.280,7.440,7.400,7.250,43121
2014-06-11,7.380,7.460,7.380,7.320,35526
2014-06-12,7.380,7.490,7.350,7.220,46738
2014-06-13,7.350,7.560,7.440,7.340,49474
2014-06-16,7.430,7.570,7.430,7.360,41321
2014-06-17,7.400,7.400,7.330,7.310,27089
2014-06-18,7.320,7.450,7.350,7.320,32436
2014-06-19,7.350,7.680,7.360,7.300,71047
2014-06-20,7.340,7.440,7.380,7.130,36661
2014-06-23,7.380,7.660,7.610,7.340,62092
2014-06-24,7.600,7.800,7.780,7.510,62473
2014-06-25,7.800,7.900,7.750,7.600,51978
2014-06-26,7.750,7.940,7.810,7.670,38263
2014-06-27,7.880,8.080,8.080,7.820,49386
2014-06-30,8.080,8.080,8.000,7.930,43671
2014-07-01,7.930,7.990,7.980,7.770,47884
2014-07-02,7.950,7.980,7.880,7.800,30982
2014-07-03,7.850,8.070,7.930,7.810,31190
2014-07-04,7.940,8.140,8.110,7.890,31671
2014-07-07,8.100,8.260,8.050,7.960,36451
2014-07-08,8.050,8.130,8.060,7.970,20685
2014-07-09,8.040,8.130,7.770,7.670,61781
2014-07-10,7.740,7.800,7.730,7.690,34604
2014-07-11,7.710,7.880,7.860,7.710,24500
2014-07-14,7.830,8.130,8.070,7.820,38162
2014-07-15,8.020,8.090,7.990,7.890,28080
2014-07-16,7.950,8.130,8.130,7.950,30977
2014-07-17,8.120,8.840,8.580,8.070,78393
2014-07-18,8.450,8.670,8.670,8.360,52257
2014-07-21,8.630,8.810,8.380,8.380,51681
2014-07-22,8.370,8.490,8.390,8.320,27992
2014-07-23,8.380,8.600,8.310,8.260,39414
2014-07-24,8.350,8.380,8.030,7.940,42982
2014-07-25,8.020,8.100,8.040,7.990,25674
2014-07-28,8.060,8.240,8.100,7.990,33022
2014-07-29,8.080,8.360,8.350,8.050,34632
2014-07-30,8.300,8.430,8.340,8.220,27333
2014-07-31,8.300,8.390,8.330,8.270,20976
2014-08-01,8.350,8.570,8.380,8.270,36796
2014-08-04,8.350,8.470,8.440,8.300,21224
2014-08-05,8.440,8.460,8.310,8.240,33261
2014-08-06,8.330,8.540,8.540,8.330,35278
2014-08-07,8.500,8.640,8.420,8.400,25938
2014-08-08,8.500,8.690,8.640,8.400,29432
2014-08-11,8.630,8.670,8.660,8.490,34191
2014-08-12,8.630,8.900,8.810,8.610,40483
2014-08-13,8.790,8.860,8.790,8.610,29622
2014-08-14,8.750,8.830,8.750,8.680,26460
2014-08-15,8.750,8.970,8.890,8.690,31386
2014-08-18,8.890,9.280,9.190,8.820,56592
2014-08-19,9.130,9.260,9.190,9.070,31776
2014-08-20,9.220,9.260,9.100,9.080,23382
2014-08-21,9.080,9.150,9.120,8.980,24711
2014-08-22,9.120,9.460,9.450,9.020,37238
2014-08-25,9.380,9.910,9.800,9.290,49073
2014-08-26,9.750,9.890,9.400,9.370,47974
2014-08-27,9.370,10.290,10.120,9.310,72334
2014-08-28,10.080,10.450,10.200,9.880,52726
2014-08-29,10.200,10.490,10.220,10.080,34166
