Date,Opening,High,Closing,Low,Volume
2014-04-18,6.320,6.320,6.320,6.320,5480
2014-04-21,6.000,6.000,6.000,6.000,1076
2014-04-22,5.700,5.700,5.700,5.700,1390
2014-04-23,5.420,5.420,5.420,5.420,1925
2014-04-24,5.150,5.150,5.150,5.150,9971
2014-04-25,4.890,5.410,5.410,4.890,151422
2014-04-28,5.240,5.590,5.160,5.160,103198
2014-04-29,4.950,5.200,4.980,4.900,54819
2014-04-30,4.960,5.230,5.230,4.960,51043
2014-05-05,5.270,5.490,5.490,5.230,61694
2014-05-06,5.540,5.760,5.760,5.490,44485
2014-05-07,5.970,6.050,6.050,5.900,78683
2014-05-08,6.160,6.170,5.940,5.750,62551
2014-05-09,5.880,6.140,5.940,5.820,41129
2014-05-12,5.980,6.050,5.940,5.850,27916
2014-05-13,5.850,5.950,5.840,5.810,23548
2014-05-14,5.830,6.130,6.130,5.810,14997
2014-05-15,6.310,6.440,6.080,6.050,59372
2014-05-16,5.810,5.980,5.880,5.800,37280
2014-05-19,5.900,5.990,5.780,5.710,20751
2014-05-20,5.750,5.910,5.810,5.730,20202
2014-05-21,5.760,6.100,6.100,5.750,30404
2014-05-22,6.240,6.240,6.100,6.050,31746
2014-05-23,6.080,6.360,6.250,6.020,33146
2014-05-26,6.230,6.320,6.270,6.150,22221
2014-05-27,6.200,6.310,6.230,6.190,13953
2014-05-28,6.230,6.240,6.200,6.150,15322
2014-05-29,6.160,6.210,6.040,5.980,22997
2014-05-30,5.980,6.100,6.090,5.880,14112
2014-06-03,6.080,6.140,6.080,6.010,14828
2014-06-04,6.080,6.140,6.010,5.930,15139
2014-06-05,6.000,6.130,6.050,5.980,9131
2014-06-06,6.010,6.090,6.040,6.010,10236
2014-06-09,6.060,6.340,6.340,6.000,74531
2014-06-10,6.150,6.370,6.260,6.150,42227
2014-06-11,6.260,6.340,6.170,6.150,23993
2014-06-12,6.180,6.180,6.100,6.050,21763
2014-06-13,6.020,6.100,6.060,6.010,22592
2014-06-16,6.060,6.120,6.030,5.990,29838
2014-06-17,6.030,6.030,5.870,5.800,31565
2014-06-18,5.800,5.950,5.700,5.680,32611
2014-06-19,5.770,5.770,5.560,5.500,20733
2014-06-20,5.510,5.800,5.740,5.510,13104
2014-06-23,5.670,5.850,5.780,5.660,9081
2014-06-24,5.780,5.840,5.840,5.730,10641
2014-06-25,5.860,5.860,5.820,5.770,13618
2014-06-26,5.790,5.900,5.900,5.760,15258
