Date,Opening,High,Closing,Low,Volume
2013-12-19,35.860,36.060,34.900,34.700,95001
2013-12-20,35.250,35.250,34.100,33.610,78186
2013-12-23,33.800,34.600,34.550,33.750,49775
2013-12-24,34.800,36.160,35.850,34.800,73316
2013-12-25,35.880,36.530,36.180,35.520,52991
2013-12-26,36.000,36.020,35.210,35.000,49066
2013-12-27,35.160,35.830,35.580,34.880,48559
2013-12-30,35.680,35.730,34.770,34.600,62512
2013-12-31,34.770,35.700,35.080,34.620,62045
2014-01-02,34.800,37.940,37.300,34.800,169363
2014-01-03,36.880,38.210,37.960,36.800,160043
2014-01-06,37.940,37.940,36.370,36.200,77086
2014-01-07,36.650,37.310,37.010,35.980,64096
2014-01-08,36.900,37.780,36.740,36.530,71792
2014-01-09,36.510,37.060,35.400,35.200,101862
2014-01-10,35.030,35.050,33.450,33.230,178578
2014-01-13,33.300,33.300,32.590,31.750,211286
2014-01-14,32.490,32.710,32.610,31.780,127872
2014-01-15,32.620,33.700,33.410,32.610,104823
2014-01-16,33.400,34.200,33.020,32.630,91725
2014-01-17,33.000,33.180,32.150,31.400,179083
2014-01-20,32.000,32.000,30.910,30.750,106549
2014-01-21,30.880,31.870,31.240,30.870,97066
2014-01-22,31.350,32.580,32.200,30.700,153934
2014-01-23,32.270,32.400,32.220,31.610,137783
2014-01-24,32.000,32.800,32.280,31.650,114944
2014-01-27,32.330,32.880,31.590,31.550,115565
2014-01-28,31.610,31.750,29.980,28.430,267657
2014-01-29,29.280,30.300,29.480,29.130,154338
2014-01-30,29.400,29.400,28.880,28.580,121002
2014-02-07,28.900,30.540,30.500,28.890,115918
2014-02-10,30.800,32.250,31.760,30.780,167465
2014-02-11,31.990,32.360,31.400,31.000,122292
2014-02-12,31.300,32.200,32.160,30.650,154481
2014-02-13,32.160,32.880,31.910,31.800,151247
2014-02-14,31.800,32.080,31.650,31.200,126100
2014-02-17,31.720,31.980,30.820,30.010,302571
2014-02-18,30.870,30.870,30.330,30.110,237253
2014-02-19,30.450,30.650,30.390,29.880,141724
2014-02-20,30.450,30.550,29.680,29.600,136323
2014-02-21,29.560,29.600,29.280,29.000,130015
2014-02-24,29.300,30.320,29.990,29.300,147696
2014-02-25,29.980,29.980,27.930,27.220,266009
2014-02-26,27.590,27.600,27.210,26.300,211038
