Date,Opening,High,Closing,Low,Volume
2013-12-19,4.680,4.720,4.710,4.640,29584
2013-12-20,4.700,4.700,4.570,4.560,31583
2013-12-23,4.660,4.660,4.470,4.450,30985
2013-12-24,4.480,4.650,4.560,4.480,64837
2013-12-25,4.550,4.760,4.670,4.500,96526
2013-12-26,4.670,4.670,4.590,4.540,46342
2013-12-27,4.560,4.630,4.600,4.540,47626
2013-12-30,4.640,4.640,4.600,4.550,73169
2013-12-31,4.580,4.650,4.580,4.530,75019
2014-01-02,4.560,4.610,4.600,4.540,40425
2014-01-03,4.590,4.590,4.510,4.500,45663
2014-01-06,4.520,4.520,4.370,4.370,39043
2014-01-07,4.330,4.440,4.390,4.310,33410
2014-01-08,4.390,4.420,4.340,4.210,25806
2014-01-09,4.370,4.370,4.220,4.200,35222
2014-01-10,4.230,4.240,4.170,4.060,43628
2014-01-13,4.180,4.250,4.160,4.130,21868
2014-01-14,4.170,4.380,4.320,4.120,39208
2014-01-15,4.320,4.350,4.270,4.260,25588
2014-01-16,4.260,4.370,4.300,4.250,39167
2014-01-17,4.300,4.370,4.320,4.260,46506
2014-01-20,4.320,4.350,4.260,4.250,21372
2014-01-21,4.250,4.560,4.440,4.250,206362
2014-01-22,4.430,4.660,4.610,4.400,242674
2014-01-23,4.560,4.660,4.590,4.510,187750
2014-01-24,4.600,5.000,4.550,4.500,788820
2014-01-27,4.500,4.510,4.320,4.310,208797
2014-01-28,4.320,4.390,4.340,4.280,180935
2014-01-29,4.320,4.370,4.280,4.270,104755
2014-01-30,4.280,4.300,4.230,4.220,44086
2014-02-07,4.230,4.290,4.280,4.180,47923
2014-02-10,4.280,4.440,4.400,4.260,163574
2014-02-11,4.400,4.450,4.420,4.350,138005
2014-02-12,4.420,4.480,4.470,4.390,128927
2014-02-13,4.470,4.550,4.440,4.430,143486
2014-02-14,4.460,4.480,4.470,4.410,86620
2014-02-17,4.500,4.560,4.520,4.460,139469
2014-02-18,4.520,4.520,4.430,4.420,100106
2014-02-19,4.430,4.520,4.480,4.420,108383
2014-02-20,4.480,4.550,4.490,4.470,124360
2014-02-21,4.480,4.560,4.480,4.440,108733
2014-02-24,4.440,4.440,4.270,4.210,91150
2014-02-25,4.280,4.350,4.110,4.090,99602
2014-02-26,4.100,4.240,4.240,4.010,80948
2014-02-27,4.190,4.210,4.160,4.110,71854
2014-02-28,4.160,4.230,4.210,4.120,52797
2014-03-03,4.210,4.230,4.230,4.160,52439
2014-03-04,4.260,4.360,4.280,4.240,103278
2014-03-05,4.240,4.280,4.200,4.190,57618
2014-03-06,4.170,4.250,4.210,4.100,66299
2014-03-07,4.220,4.490,4.350,4.150,259084
2014-03-10,4.250,4.250,4.100,4.080,109462
2014-03-11,4.090,4.310,4.240,4.030,190716
2014-03-12,4.220,4.260,4.210,4.140,100427
2014-03-13,4.200,4.370,4.290,4.190,129539
2014-03-14,4.240,4.360,4.290,4.240,106117
2014-03-17,4.290,4.340,4.320,4.260,85461
2014-03-18,4.320,4.370,4.360,4.270,104842
2014-03-19,4.360,4.360,4.320,4.280,62712
2014-03-20,4.300,4.360,4.240,4.240,67276
2014-03-21,4.200,4.370,4.360,4.160,112644
2014-03-24,4.360,4.480,4.470,4.330,128645
2014-03-25,4.440,4.500,4.440,4.400,104704
2014-03-26,4.450,4.470,4.440,4.400,74352
2014-03-27,4.420,4.580,4.410,4.390,127233
2014-03-28,4.380,4.490,4.430,4.360,85556
2014-03-31,4.420,4.580,4.560,4.410,196482
2014-04-01,4.540,4.630,4.550,4.510,78624
2014-04-02,4.530,4.640,4.590,4.530,122531
2014-04-03,4.630,4.640,4.400,4.390,167366
2014-04-04,4.300,4.300,4.250,4.150,190786
2014-04-08,4.220,4.460,4.370,4.170,256157
2014-04-09,4.350,4.430,4.360,4.300,167254
2014-04-10,4.340,4.380,4.320,4.280,170838
2014-04-11,4.300,4.380,4.300,4.290,69329
2014-04-14,4.290,4.340,4.320,4.290,54311
2014-04-15,4.320,4.330,4.240,4.220,77763
2014-04-16,4.240,4.270,4.250,4.230,43804
2014-04-17,4.260,4.260,4.180,4.170,69871
2014-04-18,4.200,4.260,4.240,4.170,42048
2014-04-21,4.200,4.260,4.230,4.200,55200
2014-04-22,4.210,4.320,4.300,4.170,87829
2014-04-23,4.290,4.300,4.240,4.220,41424
2014-04-24,4.240,4.250,4.210,4.190,41778
2014-04-25,4.220,4.240,4.180,4.160,48101
2014-04-28,4.170,4.300,4.280,4.100,294826
2014-04-29,4.260,4.290,4.060,3.860,213337
2014-04-30,4.010,4.030,3.990,3.940,58766
2014-05-05,3.990,4.000,3.880,3.880,63122
2014-05-06,3.890,3.930,3.900,3.870,53443
2014-05-07,3.900,3.930,3.880,3.850,66569
2014-05-08,3.870,3.920,3.870,3.860,43651
2014-05-09,3.870,3.920,3.790,3.790,60201
2014-05-12,3.820,4.010,3.980,3.740,202826
2014-05-13,3.950,3.990,3.920,3.890,112683
2014-05-14,3.930,3.960,3.910,3.860,62451
2014-05-15,3.900,3.900,3.790,3.780,51591
2014-05-16,3.790,3.830,3.820,3.770,29923
2014-05-19,3.820,3.850,3.820,3.790,34740
2014-05-20,3.830,3.910,3.840,3.820,77439
2014-05-21,3.820,3.860,3.850,3.800,33953
2014-05-22,3.840,3.880,3.810,3.800,50955
2014-05-23,3.800,3.820,3.810,3.770,55292
2014-05-26,3.820,3.820,3.800,3.770,51281
2014-05-27,3.800,3.800,3.760,3.750,31845
2014-05-28,3.760,3.800,3.790,3.720,48054
