Date,Opening,High,Closing,Low,Volume
2014-03-03,8.420,8.420,8.420,8.420,1843
2014-03-04,9.260,9.260,9.260,9.260,2171
2014-03-05,10.190,10.190,10.190,10.190,6980
2014-03-06,11.000,11.000,9.920,9.800,219572
2014-03-07,9.630,9.800,9.260,9.180,134357
2014-03-10,9.040,9.130,8.750,8.650,75530
2014-03-11,8.670,8.820,8.620,8.450,56273
2014-03-12,8.620,8.680,8.470,8.230,52531
2014-03-13,8.380,8.580,8.510,8.330,40114
2014-03-14,8.380,8.600,8.500,8.360,41089
2014-03-17,8.530,8.880,8.790,8.460,58263
2014-03-18,8.780,8.850,8.800,8.660,43251
2014-03-19,8.780,8.780,8.600,8.500,36585
2014-03-20,8.600,8.630,8.040,8.040,41530
2014-03-21,8.000,8.090,8.070,7.700,44244
2014-03-24,8.000,8.200,8.150,7.960,32252
2014-03-25,8.100,8.350,8.250,8.040,25372
2014-03-26,8.260,8.350,8.320,8.230,21353
2014-03-27,8.310,8.310,8.160,8.100,25661
2014-03-28,8.180,8.940,8.600,7.810,100914
2014-03-31,8.400,8.400,7.840,7.830,54946
2014-04-01,7.800,7.930,7.890,7.580,25580
2014-04-02,7.880,7.980,7.770,7.770,19254
2014-04-03,7.770,7.950,7.860,7.770,15502
2014-04-04,7.860,8.030,8.000,7.770,21033
2014-04-08,8.010,8.180,8.180,7.960,23329
2014-04-09,8.180,8.320,8.310,8.160,24736
2014-04-10,8.310,8.970,8.740,8.250,102130
2014-04-11,8.500,9.490,9.090,8.500,100792
2014-04-14,9.040,9.070,9.000,8.800,42131
2014-04-15,8.900,8.980,8.620,8.570,43573
2014-04-16,8.660,8.700,8.660,8.540,22038
2014-04-17,8.630,9.010,8.730,8.590,29401
2014-04-18,8.810,8.810,8.730,8.610,17971
2014-04-21,8.680,8.800,8.460,8.360,28685
2014-04-22,8.460,8.510,8.300,8.080,26792
2014-04-23,8.230,8.500,8.360,8.230,20275
2014-04-24,8.320,8.600,8.560,8.210,27551
2014-04-25,8.510,8.700,8.380,8.360,40784
2014-04-28,8.220,8.300,7.780,7.770,30961
2014-04-29,7.690,8.070,8.020,7.690,12337
2014-04-30,8.020,8.640,8.420,8.020,43258
2014-05-05,8.180,8.500,8.400,8.170,36662
2014-05-06,8.380,8.500,8.390,8.240,21874
2014-05-07,8.370,8.370,8.120,8.120,14277
2014-05-08,8.110,8.360,8.190,8.110,18737
2014-05-09,8.190,8.280,8.000,7.950,13667
2014-05-12,8.060,8.340,8.280,8.010,19823
2014-05-13,8.280,8.380,8.240,8.210,11498
2014-05-14,8.210,8.450,8.440,8.210,25659
2014-05-15,8.410,8.620,8.300,8.280,21967
2014-05-16,8.300,8.400,8.370,8.060,16948
2014-05-19,8.330,8.520,8.300,8.200,18455
2014-05-20,8.420,8.590,8.590,8.300,35919
2014-05-21,8.600,8.670,8.670,8.450,32503
2014-05-22,8.670,8.710,8.450,8.430,28379
2014-05-23,8.450,8.550,8.510,8.370,16655
2014-05-26,8.560,8.570,8.520,8.450,18476
2014-05-27,8.520,8.520,8.350,8.350,15449
2014-05-28,8.430,8.460,8.460,8.350,11536
2014-05-29,8.430,8.470,8.370,8.370,10934
2014-05-30,8.420,8.420,8.290,8.260,13939
2014-06-03,8.290,8.330,8.260,8.240,8381
2014-06-04,8.240,8.240,8.160,8.080,15654
2014-06-05,8.150,8.360,8.350,8.140,14087
2014-06-06,8.360,8.360,8.290,8.280,8243
2014-06-09,8.290,8.340,8.170,8.160,8808
2014-06-10,8.160,8.330,8.310,8.160,10211
2014-06-11,8.310,8.680,8.580,8.280,37000
2014-06-12,8.580,8.780,8.610,8.520,39476
2014-06-13,8.610,8.810,8.670,8.510,33992
2014-06-16,8.650,8.760,8.720,8.610,20203
2014-06-17,8.680,8.770,8.630,8.560,21210
2014-06-18,8.630,8.640,8.480,8.470,12243
2014-06-19,8.480,8.590,8.350,8.200,14839
2014-06-20,8.300,8.480,8.460,8.180,8690
2014-06-23,8.480,9.190,8.790,8.400,36267
2014-06-24,8.710,9.080,8.930,8.630,37054
2014-06-25,8.850,8.920,8.750,8.690,21676
2014-06-26,8.800,8.950,8.890,8.780,21496
2014-06-27,8.880,9.120,9.050,8.780,34755
2014-06-30,9.050,9.080,8.960,8.910,28098
2014-07-01,8.990,9.330,9.210,8.930,45163
2014-07-02,9.220,9.260,9.200,9.080,24747
2014-07-03,9.230,9.260,9.170,9.120,24392
2014-07-04,9.260,9.260,9.180,9.120,20340
2014-07-07,9.180,9.200,9.110,9.040,28776
2014-07-08,9.190,9.250,9.230,9.100,23283
2014-07-09,9.210,9.400,9.230,9.160,36492
2014-07-10,9.250,9.710,9.460,9.220,50150
2014-07-11,9.450,9.550,9.510,9.330,20065
2014-07-14,9.580,10.000,9.730,9.360,33823
2014-07-15,9.750,10.150,9.580,9.580,65495
2014-07-16,9.510,9.580,9.520,9.390,30362
